,edad,estatura_(cm),fecha_denuncia,hecho_ocurrido_el,raza,sexo,ubigeo
707,,1.45,"Jueves, 5 Septiembre, 2019 - 00:00","Jueves, 5 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,La Victoria"
708,15,1.4,"Jueves, 5 Septiembre, 2019 - 00:00","Jueves, 5 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Callao,Prov. Const. del Callao,Callao"
709,16,1.63,"Sábado, 7 Septiembre, 2019 - 00:00","Jueves, 5 Septiembre, 2019 - 00:00",MESTIZA,Masculino,"Lima,Lima,San Martin de Porres"
710,13,1.50,"Lunes, 16 Septiembre, 2019 - 00:00","Miércoles, 4 Septiembre, 2019 - 23:00",MESTIZA,Femenino,"Lima,Lima,La Victoria"
711,16,1.55,"Lunes, 9 Septiembre, 2019 - 00:00","Miércoles, 4 Septiembre, 2019 - 00:00",BLANCA,Femenino,"Lima,Lima,San Juan de Lurigancho"
712,16,1.55,"Lunes, 9 Septiembre, 2019 - 00:00","Miércoles, 4 Septiembre, 2019 - 00:00",BLANCA,Femenino,"Lima,Lima,San Juan de Lurigancho"
713,14,1.55,"Jueves, 5 Septiembre, 2019 - 00:00","Miércoles, 4 Septiembre, 2019 - 00:00",MESTIZA,Masculino,"Lima,Lima,Lima"
714,12,1.50,"Miércoles, 4 Septiembre, 2019 - 00:00","Miércoles, 4 Septiembre, 2019 - 00:00",TRIGUEÑA,Femenino,"Lima,Lima,La Molina"
715,15,1.50,"Jueves, 5 Septiembre, 2019 - 00:00","Miércoles, 4 Septiembre, 2019 - 00:00",MESTIZA,Masculino,"Lima,Lima,San Juan de Lurigancho"
716,12,1.55,"Viernes, 6 Septiembre, 2019 - 00:00","Miércoles, 4 Septiembre, 2019 - 00:00",BLANCA,Femenino,"Lima,Lima,Villa Maria del Triunfo"
717,0,0.55,"Martes, 3 Septiembre, 2019 - 00:00","Martes, 3 Septiembre, 2019 - 17:06",,Femenino,"Loreto,Maynas,Punchana"
718,16,1.50,"Martes, 3 Septiembre, 2019 - 00:00","Martes, 3 Septiembre, 2019 - 11:00",,Femenino,"Áncash,Huaylas,Caraz"
719,13,1.45,"Miércoles, 11 Septiembre, 2019 - 00:00","Martes, 3 Septiembre, 2019 - 00:00",,Masculino,Ica
720,10,1.20,"Martes, 3 Septiembre, 2019 - 00:00","Martes, 3 Septiembre, 2019 - 00:00",TRIGUEÑA,Masculino,"Cusco,Cusco,Santiago"
721,10,1.20,"Martes, 3 Septiembre, 2019 - 00:00","Martes, 3 Septiembre, 2019 - 00:00",TRIGUEÑA,Masculino,"Cusco,Cusco,Santiago"
722,14,1.55,"Viernes, 6 Septiembre, 2019 - 00:00","Martes, 3 Septiembre, 2019 - 00:00",,Femenino,"Loreto,Maynas,Iquitos"
723,15,1.45,"Jueves, 5 Septiembre, 2019 - 00:00","Martes, 3 Septiembre, 2019 - 00:00",AMARILLA,Femenino,"Junín,Chanchamayo,Perené"
724,12,1.54,"Martes, 3 Septiembre, 2019 - 00:00","Martes, 3 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Cusco,Cusco,Santiago"
725,15,1.50,"Martes, 3 Septiembre, 2019 - 00:00","Martes, 3 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Lima,Lima,Lima"
726,13,1.55,"Lunes, 2 Septiembre, 2019 - 00:00","Lunes, 2 Septiembre, 2019 - 16:30",CLARA,Femenino,"Lima,Lima,San Juan de Miraflores"
727,15,1.50,"Martes, 3 Septiembre, 2019 - 00:00","Lunes, 2 Septiembre, 2019 - 16:00",MESTIZA,Femenino,"Amazonas,Bagua,Aramango"
728,15,1.50,"Martes, 3 Septiembre, 2019 - 00:00","Lunes, 2 Septiembre, 2019 - 00:00",MESTIZA,Femenino,"Junín,Huancayo,Chilca"
729,15,1.50,"Martes, 3 Septiembre, 2019 - 00:00","Lunes, 2 Septiembre, 2019 - 00:00",BLANCA,Femenino,"Lima,Lima,San Martin de Porres"
730,14,1.56,"Lunes, 2 Septiembre, 2019 - 00:00","Lunes, 2 Septiembre, 2019 - 00:00",MESTIZA,Masculino,Cusco
731,7,1.20,"Lunes, 2 Septiembre, 2019 - 00:00","Lunes, 2 Septiembre, 2019 - 00:00",,Femenino,Cajamarca
